,City,Temp_Farenheit,Humidity,Cloudiness,Windspeed,Latitude,Longitude
1,Marsh Harbour,74.81,100.00%,20.00%,1.90,26.54,-77.06
2,Norman Wells,35.60,93.00%,90.00%,13.87,65.28,-126.83
3,Nyangao,73.91,90.00%,32.00%,2.13,-10.33,39.28
4,Torbay,40.60,93.00%,90.00%,10.29,47.66,-52.73
5,Caucaia,79.93,94.00%,40.00%,9.17,-3.73,-38.66
6,Qaanaaq,-1.70,78.00%,32.00%,4.36,77.48,-69.36
7,Ginda,43.76,57.00%,20.00%,2.57,30.69,78.49
8,Istanbul,46.74,70.00%,0.00%,11.41,41.01,28.95
9,Ushuaia,51.03,81.00%,75.00%,17.22,-54.81,-68.31
10,Nanortalik,27.20,100.00%,20.00%,26.17,60.14,-45.24
11,Alice Springs,48.20,45.00%,0.00%,5.59,-23.7,133.88
12,Airai,63.20,85.00%,0.00%,0.56,-8.93,125.41
13,Lolua,69.50,93.00%,88.00%,5.37,-33.59,26.89
14,Port Alfred,78.26,25.00%,1.00%,6.93,34.42,-119.7
15,Santa Barbara,81.56,17.00%,0.00%,10.74,13.98,10.27
16,Goure,55.20,62.00%,75.00%,18.34,-53.16,-70.91
17,Punta Arenas,57.20,93.00%,90.00%,6.93,-42.48,-73.76
18,Olafsvik,49.87,79.00%,0.00%,1.99,-35.71,150.18
19,Castro,59.06,58.00%,0.00%,4.47,20.52,-13.05
20,Batemans Bay,55.20,62.00%,75.00%,18.34,-53.16,-70.91
21,Atar,84.35,99.00%,56.00%,8.39,-1.57,9.26
22,Punta Arenas,75.35,28.00%,0.00%,11.63,-46.43,-67.52
23,Omboue,66.36,34.00%,1.00%,5.82,45.52,-122.67
24,Mar Del Plata,58.97,100.00%,64.00%,24.94,38.52,-28.7
25,Portland,83.36,98.00%,0.00%,15.77,2.04,45.34
26,Ribeira Grande,40.60,93.00%,90.00%,10.29,47.66,-52.73
27,Mogadishu,57.65,99.00%,100.00%,1.99,-34.42,19.24
28,Torbay,82.55,99.00%,92.00%,10.40,-2.02,147.27
29,Hermanus,95.00,50.00%,40.00%,2.68,6.19,-67.49
30,Lorengau,33.80,80.00%,90.00%,13.42,53.14,59.15
31,Puerto Carreno,24.80,68.00%,75.00%,13.87,49.78,-74.86
32,Svetlogorsk,54.00,71.00%,24.00%,8.01,-46.13,167.69
33,Chapais,30.53,88.00%,68.00%,5.37,65.85,44.24
34,Tuatapere,60.67,82.00%,75.00%,4.70,-33.93,18.42
35,Mezen,38.46,71.00%,0.00%,6.93,53.96,-1.08
36,Cape Town,54.00,71.00%,20.00%,8.01,-46.19,168.86
37,York,12.17,76.00%,0.00%,4.92,53.98,124.16
38,Mataura,70.39,44.00%,44.00%,15.21,-33.64,115.35
39,Never,70.39,44.00%,44.00%,15.21,-33.64,115.35
40,Busselton,62.60,48.00%,75.00%,27.51,-45.58,-72.07
41,Busselton,51.05,46.00%,0.00%,6.93,28.42,30.79
42,Coihaique,77.33,53.00%,0.00%,2.91,-20.63,-46
43,Attawapiskat,54.00,71.00%,24.00%,8.01,-46.13,167.69
44,Matay,83.21,45.00%,40.00%,11.41,22.72,-82.29
45,Amderma,6.80,60.00%,40.00%,4.70,78.22,15.63
46,Ponta Do Sol,70.39,44.00%,44.00%,15.21,-33.64,115.35
47,Tuatapere,48.20,39.00%,75.00%,4.70,58.81,-122.69
48,Bengkulu,54.00,71.00%,20.00%,8.01,-46.19,168.86
49,Batabano,73.73,100.00%,76.00%,5.70,-33.02,27.91
50,Longyearbyen,54.21,47.00%,0.00%,2.24,45.6,-0.6
51,Busselton,57.65,99.00%,100.00%,1.99,-34.42,19.24
52,Fort Nelson,38.53,48.00%,20.00%,3.00,50.56,-96.99
53,Mataura,25.49,79.00%,56.00%,2.35,52.96,103.29
54,East London,54.21,47.00%,0.00%,2.24,45.6,-0.6
55,Souillac,63.20,85.00%,0.00%,0.56,-8.93,125.41
56,Hermanus,34.52,34.00%,75.00%,12.75,50.1,-91.92
57,Husavik,83.18,100.00%,0.00%,4.92,-0.6,73.08
58,Mikhaylovka,25.04,80.00%,20.00%,2.57,42.79,75.7
59,Souillac,78.73,25.00%,1.00%,6.93,34.64,-120.46
60,Airai,82.19,100.00%,56.00%,2.01,-14.27,50.17
61,Sioux Lookout,57.20,93.00%,90.00%,6.93,-42.48,-73.76
62,Hithadhoo,55.74,87.00%,75.00%,8.05,38.18,-1.13
63,Kemin,60.67,82.00%,75.00%,4.70,-33.93,18.42
64,Taolanaro,83.18,100.00%,0.00%,4.92,-0.6,73.08
65,Lompoc,65.99,91.00%,44.00%,2.46,-6.82,30.44
66,Sambava,57.45,100.00%,90.00%,11.41,-34.58,150.85
67,Castro,80.28,74.00%,75.00%,4.70,5.28,115.24
68,Fortuna,47.61,81.00%,0.00%,1.57,37.51,22.37
69,Mys Shmidta,59.58,63.00%,20.00%,6.93,28.66,-17.92
70,Cape Town,76.88,100.00%,68.00%,18.57,-23.12,-134.97
71,Hithadhoo,51.03,81.00%,75.00%,17.22,-54.81,-68.31
72,Karema,86.00,33.00%,40.00%,6.93,-33.01,-68.8
73,Nizhneyansk,54.00,71.00%,20.00%,8.01,-46.19,168.86
74,Flinders,28.19,68.00%,0.00%,5.26,33.15,68.78
75,Victoria,50.85,93.00%,20.00%,5.82,34.92,32.53
76,Tripoli,76.88,100.00%,68.00%,18.57,-23.12,-134.97
77,Los Llanos De Aridane,45.36,66.00%,0.00%,3.02,39.45,22.34
78,Rikitea,51.03,81.00%,75.00%,17.22,-54.81,-68.31
79,Ushuaia,9.65,70.00%,36.00%,2.91,70.62,147.9
80,Russell,53.30,68.00%,0.00%,3.69,14.4,46.47
81,Mataura,69.50,93.00%,88.00%,5.37,-33.59,26.89
82,Sharan,38.88,56.00%,75.00%,26.40,42.65,-73.75
83,Lasa,82.28,34.00%,48.00%,7.16,-38.31,-60.23
84,Rikitea,68.33,92.00%,0.00%,2.57,15.34,74.49
85,Saint George,78.80,94.00%,75.00%,4.70,-5.81,-35.21
86,Ushuaia,5.06,78.00%,8.00%,6.60,69.38,178.42
87,Chokurdakh,72.56,85.00%,8.00%,7.83,-33.69,-53.46
88,Marzuq,28.40,86.00%,90.00%,4.47,64.42,-173.23
89,Port Alfred,62.57,91.00%,0.00%,2.57,-23.04,29.91
90,Albany,83.84,66.00%,20.00%,13.87,-0.74,-90.35
91,Barrow,27.20,100.00%,20.00%,26.17,60.14,-45.24
92,Vaini,76.88,100.00%,68.00%,18.57,-23.12,-134.97
93,Natal,18.29,84.00%,0.00%,7.16,59.36,143.24
94,Leningradskiy,75.11,88.00%,40.00%,6.93,-20.34,57.76
95,Chuy,78.80,21.00%,0.00%,2.24,26.56,76.33
96,Provideniya,76.88,100.00%,68.00%,18.57,-23.12,-134.97
97,Louis Trichardt,83.63,100.00%,36.00%,5.93,-16.48,-151.75
98,Puerto Ayora,81.38,100.00%,92.00%,10.96,-9.8,-139.03
99,Nanortalik,32.20,59.00%,75.00%,13.87,62.91,6.91
100,Rikitea,84.35,99.00%,56.00%,8.39,-1.57,9.26
101,Okhotsk,56.01,26.00%,1.00%,9.17,30.3,-99.24
102,Bambous Virieux,31.39,52.00%,0.00%,6.93,60.15,15.18
103,Lalsot,9.65,70.00%,36.00%,2.91,70.62,147.9
104,Rikitea,24.80,79.00%,90.00%,14.99,69.44,-133.03
105,Faanui,78.73,25.00%,1.00%,6.93,34.64,-120.46
106,Atuona,80.60,78.00%,0.00%,3.36,-25.34,-57.51
107,Bud,90.83,44.00%,0.00%,5.03,-21.13,-56.49
108,Omboue,36.18,80.00%,20.00%,1.12,35.73,140.83
109,Harper,84.20,70.00%,20.00%,23.04,12.52,-70.03
110,Ludvika,70.39,44.00%,44.00%,15.21,-33.64,115.35
111,Chokurdakh,77.00,65.00%,0.00%,3.36,-22.97,-42.02
112,Tuktoyaktuk,82.40,69.00%,76.00%,8.05,4.94,-52.33
113,Lompoc,80.75,100.00%,88.00%,10.63,-16.23,39.91
114,San Lorenzo,31.79,99.00%,76.00%,13.53,63.05,179.32
115,Bonito,50.50,61.00%,75.00%,9.17,-42.88,147.33
116,Hasaki,81.38,100.00%,92.00%,10.96,-9.8,-139.03
117,Oranjestad,75.35,28.00%,0.00%,11.63,-46.43,-67.52
118,Busselton,76.88,100.00%,68.00%,18.57,-23.12,-134.97
119,Arraial Do Cabo,78.89,61.00%,40.00%,13.87,22.08,-159.32
120,Nylstroom,77.33,53.00%,0.00%,2.91,-20.63,-46
121,Cayenne,82.55,99.00%,92.00%,10.40,-2.02,147.27
122,Kazalinsk,83.84,66.00%,20.00%,13.87,-0.74,-90.35
123,Angoche,52.74,82.00%,0.00%,4.70,45.53,12.64
124,Beringovskiy,38.88,56.00%,75.00%,26.40,42.65,-73.75
125,Hobart,80.08,14.00%,1.00%,11.41,32.77,-117.02
126,Atuona,82.40,83.00%,20.00%,4.70,-15.72,46.32
127,Tkvarcheli,49.46,81.00%,0.00%,15.10,36.82,21.7
128,Mar Del Plata,38.27,50.00%,0.00%,2.68,60.75,-137.51
129,Rikitea,57.20,93.00%,90.00%,6.93,-41.87,-73.83
130,Kapaa,57.65,99.00%,100.00%,1.99,-34.42,19.24
131,Ponta Do Sol,46.55,98.00%,92.00%,3.69,27.72,109.18
132,Lorengau,38.88,56.00%,75.00%,26.40,42.65,-73.75
133,Puerto Ayora,33.80,80.00%,75.00%,6.71,56.3,60.95
134,Iesolo,86.00,58.00%,75.00%,9.17,4.05,-74.83
135,Albany,75.20,100.00%,40.00%,3.36,16.47,107.58
136,La Mesa,45.46,70.00%,12.00%,11.41,50.95,1.95
137,Mahajanga,33.76,74.00%,0.00%,11.41,58.61,5.65
138,Methoni,53.75,62.00%,0.00%,8.50,-23.58,149.07
139,Haines Junction,50.50,61.00%,75.00%,9.17,-42.78,147.06
140,Ancud,55.22,62.00%,75.00%,18.34,-53.16,-70.91
141,Hermanus,38.36,82.00%,8.00%,2.68,-33.21,138.6
142,Tongren,80.28,74.00%,75.00%,4.70,5.28,115.24
143,Albany,79.30,51.00%,20.00%,12.75,20.89,-156.47
144,Shchelkun,83.45,100.00%,0.00%,8.16,11.67,92.75
145,Suarez,55.22,62.00%,75.00%,18.34,-53.16,-70.91
146,Hue,82.28,34.00%,48.00%,7.16,-38.31,-60.23
147,Marck,33.37,85.00%,90.00%,11.18,59.77,30.8
148,Varhaug,51.80,93.00%,90.00%,2.13,-37.83,140.78
149,Bluff,83.63,26.00%,0.00%,8.50,27.97,-114.04
150,Samusu,73.19,74.00%,0.00%,12.53,11,122.67
151,New Norfolk,69.50,93.00%,88.00%,5.37,-33.59,26.89
152,Punta Arenas,70.39,44.00%,44.00%,15.21,-33.64,115.35
153,Jamestown,42.98,84.00%,80.00%,9.17,54.11,-9.15
154,Illoqqortoormiut,68.33,92.00%,0.00%,2.57,15.34,74.49
155,Samusu,57.20,93.00%,90.00%,6.93,-42.48,-73.76
156,Stornoway,-9.35,49.00%,0.00%,2.57,67.55,133.39
157,Victoria,16.76,79.00%,8.00%,5.82,71.64,128.87
158,Kahului,63.65,95.00%,56.00%,3.69,25.52,90.21
159,Port Blair,59.00,28.00%,0.00%,13.87,32.86,59.22
160,Punta Arenas,-1.70,78.00%,32.00%,4.36,77.48,-69.36
161,Barrow,61.86,59.00%,0.00%,12.75,-23.53,148.16
162,Otradnoye,80.60,26.00%,0.00%,11.41,17.54,44.22
163,Mount Gambier,58.66,87.00%,0.00%,4.70,-28.95,153.24
164,Guerrero Negro,21.53,85.00%,56.00%,15.43,71.97,114.09
165,Dingle,57.11,82.00%,40.00%,28.30,38.73,-27.07
166,Port Alfred,-8.99,47.00%,0.00%,2.57,69.3,139.9
167,Busselton,43.31,69.00%,80.00%,16.67,54.43,31.9
168,Ballina,71.30,95.00%,0.00%,15.99,14.9,-24.5
169,Vaini,88.94,32.00%,0.00%,8.72,12.41,-12.29
170,Castro,28.46,77.00%,48.00%,5.82,65.01,53.91
171,Verkhoyansk,58.26,87.00%,76.00%,11.41,-34.53,20.04
172,Tiksi,69.86,95.00%,92.00%,12.19,-35.17,173.16
173,Tura,50.50,61.00%,75.00%,9.17,-42.88,147.33
174,Taolanaro,55.22,62.00%,75.00%,18.34,-53.16,-70.91
175,Birjand,31.39,68.00%,90.00%,4.70,49.76,-94.48
176,Qaanaaq,55.22,62.00%,75.00%,18.34,-53.16,-70.91
177,Emerald,51.03,81.00%,75.00%,17.22,-54.81,-68.31
178,Najran,54.00,71.00%,24.00%,8.01,-46.13,167.69
179,Codrington,3.20,84.00%,90.00%,9.17,70.47,-68.59
180,Saskylakh,78.68,67.00%,64.00%,8.05,9.53,-6.48
181,Praia Da Vitoria,69.50,93.00%,88.00%,5.37,-33.59,26.89
182,Deputatskiy,78.89,61.00%,40.00%,13.87,22.08,-159.32
183,Sobolevo,72.56,85.00%,8.00%,7.83,-33.69,-53.46
184,Sao Filipe,57.65,99.00%,100.00%,1.99,-34.42,19.24
185,Segou,46.40,39.00%,90.00%,4.70,63.59,-135.9
186,Izhma,77.00,94.00%,68.00%,12.75,-19.06,-169.92
187,Bredasdorp,78.73,25.00%,1.00%,6.93,34.64,-120.46
188,Ahipara,-0.26,77.00%,0.00%,3.69,69.7,170.27
189,Hobart,43.20,52.00%,1.00%,3.36,60.79,-161.76
190,Punta Arenas,50.50,61.00%,75.00%,9.17,-42.88,147.33
191,Kenora,88.76,76.00%,8.00%,6.93,11.28,-15.83
192,Punta Arenas,75.13,88.00%,40.00%,6.93,-20.01,57.66
193,Ushuaia,62.60,55.00%,75.00%,4.70,8.96,38.73
194,Tuatapere,58.26,87.00%,76.00%,11.41,-34.53,20.04
195,Clyde River,29.72,91.00%,80.00%,12.19,71.98,102.47
196,Boundiali,75.62,97.00%,0.00%,6.60,7.42,81.82
197,Port Alfred,78.73,25.00%,1.00%,6.93,34.64,-120.46
198,Kapaa,53.98,50.00%,1.00%,14.99,39.31,-74.98
199,Chuy,76.19,69.00%,90.00%,8.05,19.71,-155.08
200,Hermanus,78.80,78.00%,20.00%,4.70,7.49,80.36
201,Mayo,56.81,96.00%,92.00%,1.90,28.17,94.8
202,Belushya Guba,51.03,81.00%,75.00%,17.22,-54.81,-68.31
203,Alofi,82.55,100.00%,68.00%,15.43,3.07,172.79
204,Lompoc,27.20,100.00%,20.00%,26.17,60.14,-45.24
205,Pevek,-0.26,77.00%,0.00%,3.69,69.7,170.27
206,Attawapiskat,50.50,61.00%,75.00%,9.17,-42.88,147.33
207,Rungata,76.88,100.00%,68.00%,18.57,-23.12,-134.97
208,Bethel,41.00,93.00%,90.00%,17.22,50.23,-63.6
209,Hobart,78.86,92.00%,64.00%,1.79,-14.9,50.28
210,Bubaque,29.72,91.00%,80.00%,12.19,71.98,102.47
211,Grand Gaube,62.60,55.00%,75.00%,4.70,8.96,38.73
212,Lebu,50.42,100.00%,100.00%,3.69,25.86,114.93
213,Bredasdorp,68.33,92.00%,0.00%,2.57,15.34,74.49
214,Saleaula,62.66,78.00%,0.00%,17.78,-26.65,15.16
215,Khatanga,51.03,81.00%,75.00%,17.22,-54.81,-68.31
216,Kalmunai,71.30,95.00%,0.00%,15.99,14.9,-24.5
217,Lompoc,13.61,86.00%,68.00%,11.86,53.59,142.95
218,Port Elizabeth,77.00,94.00%,68.00%,12.75,-19.06,-169.92
219,Saleaula,68.69,95.00%,0.00%,2.68,18.03,73.02
220,Taolanaro,55.22,62.00%,75.00%,18.34,-53.16,-70.91
221,Hilo,64.46,95.00%,64.00%,11.97,25.02,37.27
222,Kurunegala,82.55,100.00%,68.00%,15.43,3.07,172.79
223,Along,80.60,69.00%,0.00%,2.24,-22.28,166.46
224,Ushuaia,59.74,52.00%,76.00%,17.00,23.02,-98.88
225,Butaritari,33.39,95.00%,90.00%,17.90,64.73,177.51
226,Nanortalik,83.84,66.00%,20.00%,13.87,-0.74,-90.35
227,Pevek,51.03,81.00%,75.00%,17.22,-54.81,-68.31
228,Hobart,73.73,100.00%,76.00%,5.70,-33.02,27.91
229,Rikitea,40.21,52.00%,90.00%,13.87,41.34,-76
230,Havre-Saint-Pierre,75.08,93.00%,0.00%,4.81,25.29,60.65
231,Antalaha,79.49,99.00%,76.00%,3.91,-5.2,-35.46
232,Khatanga,83.84,66.00%,20.00%,13.87,-0.74,-90.35
233,Lebu,76.88,100.00%,68.00%,18.57,-23.12,-134.97
234,Taolanaro,68.33,92.00%,0.00%,2.57,15.34,74.49
235,Ganzhou,82.40,26.00%,0.00%,12.75,-45.87,-67.48
236,Vaini,21.53,85.00%,56.00%,15.43,71.97,114.09
237,Luderitz,76.88,100.00%,68.00%,18.57,-23.12,-134.97
238,Ushuaia,35.60,80.00%,90.00%,16.11,68.22,-135.01
239,Sao Filipe,70.39,44.00%,44.00%,15.21,-33.64,115.35
240,Okha,67.64,56.00%,75.00%,13.87,31.21,-82.35
241,Alofi,89.03,18.00%,0.00%,3.02,18.62,-100.35
242,Srivardhan,76.19,69.00%,90.00%,8.05,19.71,-155.08
243,Punta Arenas,50.50,61.00%,75.00%,9.17,-42.88,147.33
244,Umm Lajj,83.63,26.00%,0.00%,8.50,27.97,-114.04
245,Butaritari,57.26,43.00%,20.00%,10.07,29.03,21.55
246,Noumea,86.33,56.00%,8.00%,5.14,13.59,-89.83
247,Xicotencatl,21.53,85.00%,56.00%,15.43,71.97,114.09
248,Anadyr,43.52,75.00%,40.00%,6.93,-41.43,147.14
249,Puerto Ayora,38.36,82.00%,8.00%,2.68,-33.21,138.6
250,Crab Hill,54.00,71.00%,20.00%,8.01,-46.19,168.86
251,Ushuaia,80.39,69.00%,32.00%,1.90,3.47,23.69
252,East London,33.80,80.00%,90.00%,13.42,53.14,59.15
253,Back Mountain,75.09,88.00%,40.00%,6.93,-20.41,57.7
254,Chabahar,35.60,47.00%,40.00%,3.36,54.13,-108.44
255,Touros,36.65,100.00%,88.00%,7.16,63.44,-20.27
256,Puerto Ayora,35.66,65.00%,0.00%,1.68,41.28,20.71
257,Rikitea,83.84,66.00%,20.00%,13.87,-0.74,-90.35
258,Vaini,-1.88,59.00%,0.00%,2.46,68.75,161.3
259,Comodoro Rivadavia,33.37,85.00%,90.00%,11.18,59.7,30.79
260,Guicheng,64.46,27.00%,8.00%,12.19,-30.97,22.13
261,Saskylakh,54.00,71.00%,20.00%,8.01,-46.19,168.86
262,Rikitea,51.03,81.00%,75.00%,17.22,-54.81,-68.31
263,Aklavik,54.00,71.00%,20.00%,8.01,-46.19,168.86
264,Busselton,82.55,100.00%,68.00%,15.43,3.07,172.79
265,Waycross,43.20,52.00%,1.00%,3.36,60.79,-161.76
266,Coahuayana,78.80,100.00%,5.00%,2.24,6.12,81.12
267,Hilo,16.76,79.00%,8.00%,5.82,71.64,128.87
268,Hobart,77.15,100.00%,92.00%,9.17,-10.62,150.67
269,Guerrero Negro,76.07,100.00%,92.00%,2.57,-8.15,159.59
270,Jalu,48.20,70.00%,1.00%,17.22,55.34,-131.65
271,Acajutla,80.39,86.00%,44.00%,3.13,-0.18,10.76
272,Saskylakh,33.48,59.00%,0.00%,4.70,56.17,14.86
273,Launceston,58.66,87.00%,0.00%,4.70,-28.95,153.24
274,Jamestown,55.22,62.00%,75.00%,18.34,-53.16,-70.91
275,Mataura,80.28,74.00%,75.00%,4.70,5.28,115.24
276,Kulu,43.02,92.00%,92.00%,1.45,40.07,-2.13
277,Svetlogorsk,77.00,57.00%,0.00%,4.70,-24.8,-53.31
278,Vaitupu,81.38,100.00%,92.00%,10.96,-9.8,-139.03
279,Mahebourg,64.71,77.00%,75.00%,4.70,-33.58,-71.61
280,Meadow Lake,55.40,62.00%,0.00%,8.05,-25.24,130.99
281,Vestmannaeyjar,83.84,66.00%,20.00%,13.87,-0.74,-90.35
282,Poum,76.19,69.00%,90.00%,8.05,19.71,-155.08
283,Puerto Ayora,82.55,100.00%,68.00%,15.43,3.07,172.79
284,Cherskiy,86.00,70.00%,40.00%,11.41,13.64,-88.78
285,Nikolskoye,70.39,44.00%,44.00%,15.21,-33.64,115.35
286,Carnarvon,34.92,69.00%,90.00%,9.17,45.36,-73.48
287,Mataura,80.60,69.00%,40.00%,16.11,13.22,-59.52
288,Ushuaia,62.60,55.00%,75.00%,4.70,8.96,38.73
289,Mataura,51.03,81.00%,75.00%,17.22,-54.81,-68.31
290,Butaritari,70.39,44.00%,44.00%,15.21,-33.64,115.35
291,Bethel,73.28,94.00%,24.00%,2.68,16.94,104.73
292,Taolanaro,32.00,100.00%,75.00%,4.70,40.21,140.05
293,Taolanaro,82.55,100.00%,68.00%,15.43,3.07,172.79
294,Hambantota,78.80,88.00%,20.00%,5.82,-11.38,43.28
295,Tiksi,64.46,95.00%,0.00%,2.80,10.2,122.99
296,Belushya Guba,51.03,81.00%,75.00%,17.22,-54.81,-68.31
297,Samarai,76.88,100.00%,68.00%,18.57,-23.12,-134.97
298,Buala,60.67,82.00%,75.00%,4.70,-33.93,18.42
299,Ketchikan,80.93,59.00%,56.00%,4.25,-33.52,-56.9
300,Ndjole,82.40,65.00%,5.00%,6.93,16.86,-99.88
301,Karlshamn,22.79,80.00%,76.00%,3.36,61.81,36.54
302,Codrington,77.00,65.00%,0.00%,3.36,-22.97,-42.02
303,Punta Arenas,53.75,62.00%,0.00%,8.50,-23.58,149.07
304,Victoria,50.50,61.00%,75.00%,9.17,-42.78,147.06
305,Cuenca,39.44,67.00%,24.00%,6.38,34.57,105.89
306,Corbelia,45.19,61.00%,0.00%,2.24,44.65,26.83
307,Taolanaro,73.00,74.00%,36.00%,1.01,-24.11,-49.33
308,Atuona,62.60,55.00%,75.00%,4.70,9.18,38.92
309,San Antonio,61.86,59.00%,0.00%,12.75,-23.53,148.16
310,Yulara,83.84,66.00%,20.00%,13.87,-0.74,-90.35
311,Kashi,38.36,82.00%,8.00%,2.68,-33.21,138.6
312,Puerto Ayora,83.18,100.00%,0.00%,4.92,-0.6,73.08
313,Hilo,82.28,34.00%,48.00%,7.16,-38.31,-60.23
314,Butaritari,57.20,93.00%,90.00%,6.93,-42.48,-73.76
315,San Vicente,51.03,81.00%,75.00%,17.22,-54.81,-68.31
316,Meyungs,26.01,79.00%,0.00%,18.34,68.38,17.6
317,Busselton,78.78,61.00%,1.00%,11.41,26.68,-80.67
318,Svetlyy,51.03,81.00%,75.00%,17.22,-54.81,-68.31
319,Saint-Philippe,50.50,61.00%,75.00%,9.17,-42.88,147.33
320,Bathsheba,78.23,26.00%,8.00%,2.91,18.74,7.39
321,Lebu,13.61,86.00%,68.00%,11.86,53.59,142.95
322,Ushuaia,33.37,85.00%,90.00%,11.18,59.7,30.79
323,Busselton,54.00,71.00%,20.00%,8.01,-46.19,168.86
324,That Phanom,64.46,27.00%,8.00%,12.19,-30.97,22.13
325,Noshiro,58.66,87.00%,0.00%,4.70,-28.95,153.24
326,Butaritari,40.98,86.00%,20.00%,17.22,52.96,4.76
327,Mitsamiouli,28.40,86.00%,90.00%,4.47,64.42,-173.23
328,Isabela,53.75,62.00%,0.00%,8.50,-23.58,149.07
329,Ushuaia,60.67,82.00%,75.00%,4.70,-33.93,18.42
330,Rikitea,57.65,99.00%,100.00%,1.99,-34.42,19.24
331,Cape Town,81.83,92.00%,0.00%,8.39,21.09,72.71
332,Trinidad,85.19,74.00%,40.00%,13.87,6.8,-58.16
333,Acapulco,80.28,74.00%,75.00%,4.70,5.28,115.24
334,Belushya Guba,66.20,72.00%,75.00%,13.87,24.8,125.28
335,Pudozh,51.03,81.00%,75.00%,17.22,-54.81,-68.31
336,Arraial Do Cabo,43.76,57.00%,20.00%,2.57,30.69,78.49
337,Bluff,64.46,27.00%,8.00%,12.19,-30.97,22.13
338,New Norfolk,-1.70,78.00%,32.00%,4.36,77.48,-69.36
339,Beidao,50.78,66.00%,0.00%,3.69,15.17,44.32
340,Sfantu Gheorghe,64.40,77.00%,0.00%,16.11,20.93,-17.03
341,Itarare,76.62,61.00%,20.00%,8.05,21.39,-158.15
342,Dire,3.20,84.00%,90.00%,9.17,70.47,-68.59
343,Emerald,69.50,93.00%,88.00%,5.37,-33.59,26.89
344,Puerto Ayora,16.76,79.00%,8.00%,5.82,71.64,128.87
345,Sentyabrskiy,86.00,62.00%,0.00%,4.70,-29.77,-57.08
346,Jamestown,78.80,100.00%,75.00%,5.82,-6.97,-34.84
