,City,Temp_Farenheit,Humidity,Cloudiness,Windspeed,Latitude,Longitude
347,Halalo,18.11,78.00%,0.00%,13.09,66.56,67.8
348,Hithadhoo,34.14,50.00%,90.00%,9.17,39.26,-84.82
349,Barrow,70.39,44.00%,44.00%,15.21,-33.64,115.35
350,Castro,53.75,62.00%,0.00%,8.50,-23.58,149.07
351,Ushuaia,48.20,61.00%,75.00%,11.41,37.5,61.97
352,Beisfjord,69.80,64.00%,40.00%,13.87,16.18,-22.92
353,Belle Glade,81.29,61.00%,0.00%,5.14,9.62,6.55
354,Ushuaia,76.88,100.00%,68.00%,18.57,-23.12,-134.97
355,Dzhusaly,13.61,68.00%,56.00%,3.58,52.42,136.49
356,Illoqqortoormiut,82.28,34.00%,48.00%,7.16,-38.31,-60.23
357,Hobart,10.19,85.00%,76.00%,10.40,66.15,-65.72
358,Arlit,20.36,86.00%,8.00%,2.91,51.68,102.13
359,Okha,89.60,43.00%,0.00%,3.69,9.11,18.35
360,Nikolskoye,60.67,82.00%,75.00%,4.70,-33.93,18.42
361,Mataura,36.18,80.00%,20.00%,1.12,35.73,140.83
362,Carnarvon,57.20,93.00%,90.00%,6.93,-42.48,-73.76
363,Codrington,80.66,92.00%,24.00%,5.14,-6.13,12.37
364,Den Helder,-9.35,49.00%,0.00%,2.57,67.55,133.39
365,Provideniya,77.00,61.00%,20.00%,5.82,-22.65,-42.51
366,Tuggurt,63.20,85.00%,0.00%,0.56,-8.93,125.41
367,Bluff,81.11,100.00%,0.00%,16.33,-17.73,-39.27
368,Cape Town,-3.95,52.00%,0.00%,2.91,68.54,146.19
369,Hermanus,67.70,74.00%,0.00%,3.69,-25.41,-70.49
370,Dumas,74.81,80.00%,48.00%,2.13,-30.17,-50.22
371,Georgetown,75.35,28.00%,0.00%,11.63,-46.43,-67.52
372,Victoria,35.84,98.00%,92.00%,7.05,59.53,45.45
373,Hirara,33.05,88.00%,0.00%,7.83,43.35,52.85
374,Ushuaia,57.17,57.00%,0.00%,13.65,-22,148.04
375,Ginda,42.80,87.00%,88.00%,12.75,62.23,-6.59
376,Carnarvon,28.40,86.00%,90.00%,4.47,64.42,-173.23
377,Qaanaaq,34.84,51.00%,90.00%,8.05,48.61,-93.4
378,Sayyan,22.07,64.00%,48.00%,3.69,42.28,125.73
379,Nouadhibou,24.64,92.00%,0.00%,3.36,64.91,25.51
380,Nanakuli,78.89,61.00%,40.00%,13.87,22.08,-159.32
381,Korla,55.22,62.00%,75.00%,18.34,-53.16,-70.91
382,Clyde River,82.28,34.00%,48.00%,7.16,-38.31,-60.23
383,Port Alfred,36.18,80.00%,20.00%,1.12,35.73,140.83
384,Tiksi,57.65,99.00%,100.00%,1.99,-34.42,19.24
385,Uruguaiana,82.55,100.00%,68.00%,15.43,3.07,172.79
386,Cabedelo,81.38,100.00%,92.00%,10.96,-9.8,-139.03
387,Aksarka,76.19,69.00%,90.00%,8.05,19.71,-155.08
388,Harrison,9.65,70.00%,36.00%,2.91,70.62,147.9
389,Busselton,76.88,100.00%,68.00%,18.57,-23.12,-134.97
390,Bluff,29.72,86.00%,24.00%,16.33,55.87,72.2
391,Murgab,3.20,84.00%,90.00%,9.17,70.47,-68.59
392,Sal Rei,80.21,99.00%,48.00%,5.14,-16.11,167.42
393,Minna,41.69,84.00%,0.00%,3.36,-32.25,148.6
394,Taolanaro,35.60,47.00%,40.00%,3.36,54.13,-108.44
395,Rikitea,50.85,93.00%,20.00%,5.82,34.92,32.53
396,Imeni Poliny Osipenko,38.88,56.00%,75.00%,26.40,42.65,-73.75
397,Barrow,17.60,67.00%,48.00%,8.05,69.22,-51.1
398,Pangnirtung,17.60,67.00%,48.00%,8.05,69.22,-51.1
399,Kyren,57.65,99.00%,100.00%,1.99,-34.42,19.24
400,Kibala,76.88,100.00%,68.00%,18.57,-23.12,-134.97
401,Cape Town,54.00,71.00%,20.00%,8.01,-46.19,168.86
402,Hasaki,37.99,100.00%,68.00%,11.52,47.17,-55.16
403,Castro,53.85,37.00%,1.00%,20.80,39.31,-74.98
404,Soyo,39.20,69.00%,40.00%,16.11,65.68,-18.09
405,Verkhoyansk,47.63,77.00%,36.00%,6.71,29.44,55.67
406,Caxito,82.40,65.00%,0.00%,3.36,-25.4,-55.27
407,Airai,85.16,97.00%,32.00%,8.39,4.42,-7.36
408,Caravelas,35.66,65.00%,0.00%,1.68,41.28,20.71
409,Belaya Gora,54.00,71.00%,20.00%,8.01,-46.19,168.86
410,Taltal,50.50,61.00%,75.00%,9.17,-42.88,147.33
411,Cidreira,60.67,82.00%,75.00%,4.70,-33.93,18.42
412,Mar Del Plata,38.88,56.00%,75.00%,26.40,42.65,-73.75
413,Nikolsk,59.77,72.00%,20.00%,9.17,33.08,-16.33
414,Zhanaozen,58.26,87.00%,76.00%,11.41,-34.53,20.04
415,Moranbah,40.43,100.00%,92.00%,25.17,64.25,-15.21
416,Klaksvik,16.76,73.00%,68.00%,2.80,46.24,130.56
417,Provideniya,63.68,32.00%,1.00%,6.93,49.38,-121.43
418,Fort Frances,26.60,63.00%,0.00%,11.18,68.82,32.82
419,Liuhe,-1.70,78.00%,32.00%,4.36,77.48,-69.36
420,Kempele,83.44,47.00%,5.00%,11.41,22.89,-109.91
421,Illoqqortoormiut,24.80,79.00%,90.00%,14.99,69.44,-133.03
422,Kapaa,34.57,55.00%,0.00%,9.17,62.49,17.33
423,Punta Arenas,-0.26,77.00%,0.00%,3.69,69.7,170.27
424,Barrow,62.98,72.00%,75.00%,17.22,-0.39,-78.55
425,Taolanaro,83.84,66.00%,20.00%,13.87,-0.74,-90.35
426,Hasaki,55.22,62.00%,75.00%,18.34,-53.16,-70.91
427,Hermanus,29.72,91.00%,80.00%,12.19,71.98,102.47
428,Butaritari,76.88,100.00%,68.00%,18.57,-23.12,-134.97
429,Atuona,85.19,74.00%,40.00%,13.87,6.8,-58.16
430,Hilo,83.18,100.00%,0.00%,4.92,-0.6,73.08
431,Chokurdakh,55.73,56.00%,80.00%,3.91,41.42,-6.55
432,Palabuhanratu,63.20,85.00%,0.00%,0.56,-8.93,125.41
433,Rikitea,82.55,100.00%,68.00%,15.43,3.07,172.79
434,Tyukalinsk,61.13,53.00%,0.00%,17.00,-45.87,170.5
435,Clyde River,32.41,84.00%,40.00%,17.22,63.83,10.7
436,Lakatoro,28.37,92.00%,88.00%,16.11,69.49,88.39
437,Dubbo,57.65,99.00%,100.00%,1.99,-34.42,19.24
438,Nizhneyansk,60.67,82.00%,75.00%,4.70,-33.93,18.42
439,Meadow Lake,78.80,57.00%,0.00%,2.24,-22.41,-47.56
440,Harigue,53.84,79.00%,56.00%,0.67,-13.98,-74.17
441,Lasa,21.20,41.00%,0.00%,8.05,60.91,-46.05
442,Albany,70.39,44.00%,44.00%,15.21,-33.64,115.35
443,Ilulissat,79.40,100.00%,8.00%,17.11,11.14,123.72
444,Ilulissat,-0.26,77.00%,0.00%,3.69,69.7,170.27
445,Hermanus,81.48,69.00%,92.00%,4.00,-31.62,-60.7
446,Rikitea,35.60,93.00%,90.00%,13.87,65.28,-126.83
447,Mataura,29.72,86.00%,24.00%,16.33,55.87,72.2
448,Marystown,53.75,62.00%,0.00%,8.50,-23.58,149.07
449,Port Elizabeth,54.83,99.00%,92.00%,1.34,27.93,96.16
450,Taolanaro,21.53,85.00%,56.00%,15.43,71.97,114.09
451,Akureyri,32.70,74.00%,0.00%,11.41,58.89,5.65
452,Sirjan,75.20,100.00%,92.00%,17.22,-21.21,-159.78
453,Doctor Juan Leon Mallorquin,85.97,67.00%,88.00%,3.47,-26.98,-56.83
454,Tabou,57.47,76.00%,0.00%,3.36,41.53,-8.62
455,Palabuhanratu,78.80,74.00%,75.00%,5.82,17.01,54.1
456,Poum,27.20,100.00%,20.00%,26.17,60.14,-45.24
457,Mataura,82.10,100.00%,68.00%,8.95,-2.57,150.8
458,Hobart,76.88,100.00%,68.00%,18.57,-23.12,-134.97
459,Cape Town,30.20,86.00%,0.00%,8.95,60.73,77.6
460,Albany,32.15,80.00%,0.00%,2.91,45.32,55.19
461,Camacha,53.85,37.00%,1.00%,20.80,39.31,-74.98
462,Bredasdorp,77.15,100.00%,92.00%,9.17,-10.62,150.67
463,Hofn,50.50,61.00%,75.00%,9.17,-42.78,147.06
464,Huanan,43.20,52.00%,1.00%,3.36,60.79,-161.76
465,Hope,57.65,99.00%,100.00%,1.99,-34.42,19.24
466,Murmashi,50.52,61.00%,75.00%,9.17,-43.03,147.26
467,Qaanaaq,53.75,62.00%,0.00%,8.50,-23.58,149.07
468,Cabo San Lucas,28.37,92.00%,88.00%,16.11,69.49,88.39
469,Tuktoyaktuk,21.53,85.00%,56.00%,15.43,71.97,114.09
470,Timra,78.89,65.00%,5.00%,10.29,20.71,-105.21
471,Pevek,60.67,82.00%,75.00%,4.70,-33.93,18.42
472,San Cristobal,60.67,82.00%,75.00%,4.70,-33.93,18.42
473,Samusu,41.00,93.00%,75.00%,4.70,38.62,34.71
474,Puerto Ayora,70.39,44.00%,44.00%,15.21,-33.64,115.35
475,Punta Arenas,50.51,85.00%,0.00%,6.38,30.75,20.22
476,Attawapiskat,16.76,79.00%,8.00%,5.82,71.64,128.87
477,Khatanga,68.33,92.00%,0.00%,2.57,15.34,74.49
478,Rikitea,37.56,55.00%,0.00%,3.36,51.9,15.33
479,Georgetown,60.67,82.00%,75.00%,4.70,-33.93,18.42
480,Hithadhoo,38.88,56.00%,75.00%,26.40,42.65,-73.75
481,Saldanha,77.78,98.00%,0.00%,9.95,-21.55,167.88
482,Falealupo,68.33,92.00%,0.00%,2.57,15.34,74.49
483,Airai,70.49,98.00%,0.00%,2.35,-7.95,110.28
484,Butaritari,55.17,82.00%,40.00%,12.75,37.72,-25.43
485,Dunedin,78.68,89.00%,12.00%,6.60,-10.41,-36.43
486,Amderma,60.67,82.00%,75.00%,4.70,-33.93,18.42
487,Hovd,71.66,96.00%,76.00%,3.91,2.79,24.73
488,Talnakh,91.40,59.00%,20.00%,4.70,-2.98,-65.16
489,Hermanus,41.97,80.00%,90.00%,12.75,42.08,-72.03
490,Cape Town,76.25,88.00%,12.00%,4.25,16.02,80.92
491,Rio Claro,53.85,37.00%,1.00%,20.80,39.31,-74.98
492,Totoro,82.28,34.00%,48.00%,7.16,-38.31,-60.23
493,Narsaq,68.96,19.00%,0.00%,7.72,27.75,-107.63
494,Busselton,51.03,81.00%,75.00%,17.22,-54.81,-68.31
495,Sulangan,12.98,77.00%,0.00%,3.58,48.6,133.81
496,Pevek,-1.70,78.00%,32.00%,4.36,77.48,-69.36
497,Santa Fe,76.88,100.00%,68.00%,18.57,-23.12,-134.97
498,Norman Wells,46.91,73.00%,0.00%,12.64,53.43,33.92
499,Tyukalinsk,82.37,100.00%,8.00%,1.90,-0.92,100.36
500,Bluff,31.25,97.00%,92.00%,5.14,60.35,102.28
501,Barentsburg,58.97,100.00%,64.00%,24.94,38.52,-28.7
502,Tezu,75.20,69.00%,0.00%,8.05,-20.31,118.58
503,Illoqqortoormiut,28.40,86.00%,90.00%,4.47,64.42,-173.23
504,Saskylakh,55.22,62.00%,75.00%,18.34,-53.16,-70.91
505,Sola,68.33,92.00%,0.00%,2.57,15.34,74.49
506,Avarua,70.39,44.00%,44.00%,15.21,-33.64,115.35
507,San Patricio,35.87,59.00%,90.00%,19.46,62.45,-114.38
508,Barcelos,16.31,78.00%,0.00%,3.58,57.24,107.32
509,Salalah,53.85,37.00%,1.00%,20.80,39.31,-74.98
510,Nanortalik,63.00,49.00%,0.00%,15.99,-46.28,169.85
511,Kavieng,68.33,92.00%,0.00%,2.57,15.34,74.49
512,Rikitea,77.05,45.00%,75.00%,14.99,29.65,-82.33
513,Strezhevoy,55.22,62.00%,75.00%,18.34,-53.16,-70.91
514,Beyneu,17.60,67.00%,48.00%,8.05,69.22,-51.1
515,Labutta,35.87,59.00%,90.00%,19.46,62.45,-114.38
516,Belushya Guba,82.55,100.00%,68.00%,15.43,3.07,172.79
517,Port Elizabeth,71.60,83.00%,40.00%,11.41,-7.84,-79.15
518,Samarai,54.00,71.00%,20.00%,8.01,-46.19,168.86
519,Illoqqortoormiut,76.88,100.00%,68.00%,18.57,-23.12,-134.97
520,New Norfolk,28.28,93.00%,88.00%,24.83,73.51,80.55
521,Bethel,81.29,100.00%,8.00%,3.58,-12.58,13.4
522,Hermanus,44.60,52.00%,0.00%,11.18,48.03,40.04
523,Margate,55.22,62.00%,75.00%,18.34,-53.16,-70.91
524,Bluff,42.80,87.00%,88.00%,12.75,62.23,-6.59
525,Talnakh,87.40,9.00%,0.00%,1.99,20.8,-104.02
526,Saskylakh,58.26,87.00%,76.00%,11.41,-34.53,20.04
527,Ixtapa,75.11,88.00%,40.00%,6.93,-20.34,57.76
528,Cape Town,75.35,28.00%,0.00%,11.63,-46.43,-67.52
529,Cape Town,75.89,100.00%,80.00%,9.28,-8.49,140.4
530,Nevsehir,69.80,52.00%,0.00%,3.36,-15.77,128.74
531,Busselton,64.46,27.00%,8.00%,12.19,-30.97,22.13
532,Ajdabiya,23.00,79.00%,36.00%,4.47,53.05,158.65
533,Tiksi,-1.88,59.00%,0.00%,2.46,68.75,161.3
534,Boatlaname,80.28,74.00%,75.00%,4.70,5.28,115.24
535,Vaini,54.21,47.00%,0.00%,2.24,45.6,-0.6
536,Letnica,83.44,47.00%,5.00%,11.41,22.89,-109.91
537,Cape Town,51.03,81.00%,75.00%,17.22,-54.81,-68.31
538,Albany,75.71,98.00%,8.00%,5.14,5.38,95.96
539,Tadine,70.39,44.00%,44.00%,15.21,-33.64,115.35
540,Vaini,60.67,82.00%,75.00%,4.70,-33.93,18.42
541,Taolanaro,63.00,49.00%,0.00%,15.99,-46.28,169.85
542,Saleaula,57.20,93.00%,90.00%,6.93,-42.48,-73.76
543,Bambanglipuro,72.43,73.00%,8.00%,9.17,-32.55,115.7
544,Vila Franca Do Campo,59.77,72.00%,20.00%,9.17,33.08,-16.33
545,Piacabucu,-0.26,77.00%,0.00%,3.69,69.7,170.27
546,Cape Town,45.23,11.00%,1.00%,4.70,39.95,-94.76
547,Buta,76.88,100.00%,68.00%,18.57,-23.12,-134.97
548,Uarini,55.22,62.00%,75.00%,18.34,-53.16,-70.91
549,Southbridge,80.39,97.00%,8.00%,21.81,12.79,45.03
550,Avanigadda,82.19,100.00%,56.00%,2.01,-14.27,50.17
551,Port Elizabeth,55.22,62.00%,75.00%,18.34,-53.16,-70.91
552,Barrow,51.03,81.00%,75.00%,17.22,-54.81,-68.31
553,Creel,76.88,100.00%,68.00%,18.57,-23.12,-134.97
554,Ushuaia,55.22,62.00%,75.00%,18.34,-53.16,-70.91
555,Smidovich,81.38,100.00%,92.00%,10.96,-9.8,-139.03
556,Qaanaaq,51.03,81.00%,75.00%,17.22,-54.81,-68.31
557,Rikitea,86.00,17.00%,0.00%,9.17,24.47,54.37
558,Rzhanitsa,16.76,79.00%,8.00%,5.82,71.64,128.87
559,Padang,41.23,93.00%,90.00%,9.17,45.62,-61.36
560,Vanavara,33.37,85.00%,90.00%,11.18,59.7,30.79
561,Ribeira Grande,68.33,92.00%,0.00%,2.57,15.34,74.49
562,Port Hedland,38.36,82.00%,8.00%,2.68,-33.21,138.6
563,Provideniya,69.80,52.00%,0.00%,4.70,28.58,77.04
564,Punta Arenas,73.19,74.00%,0.00%,12.53,11,122.67
565,Vaitupu,16.76,79.00%,8.00%,5.82,71.64,128.87
566,Vaini,50.50,61.00%,75.00%,9.17,-42.88,147.33
567,Busselton,70.39,44.00%,44.00%,15.21,-33.64,115.35
568,Taolanaro,60.67,82.00%,75.00%,4.70,-33.93,18.42
569,Yellowknife,46.15,100.00%,40.00%,2.57,37.88,41.13
570,Ulkan,27.56,85.00%,0.00%,9.28,54.17,74.7
571,Port Elizabeth,28.29,47.00%,76.00%,13.00,46.27,-81.77
572,Attawapiskat,62.48,37.00%,64.00%,6.60,27.03,14.43
573,Kaitangata,76.88,100.00%,68.00%,18.57,-23.12,-134.97
574,Vaini,41.00,93.00%,90.00%,17.22,50.23,-63.6
575,Gainesville,75.20,100.00%,92.00%,17.22,-21.21,-159.78
576,Punta Arenas,40.60,93.00%,90.00%,10.29,47.66,-52.73
577,Ilulissat,54.00,71.00%,20.00%,8.01,-46.19,168.86
578,Yellowknife,38.36,82.00%,8.00%,2.68,-33.21,138.6
579,Butaritari,58.66,87.00%,0.00%,4.70,-28.95,153.24
580,Chicama,38.88,56.00%,75.00%,26.40,42.65,-73.75
581,Angra,10.91,100.00%,64.00%,2.35,72.79,-56.15
582,Mataura,74.81,80.00%,48.00%,2.13,-30.17,-50.22
583,Rikitea,75.80,100.00%,0.00%,2.24,-9.11,124.89
584,Dikson,47.32,52.00%,1.00%,4.81,64.86,-147.8
585,Benguela,77.92,50.00%,20.00%,6.93,24.73,-77.79
586,Almaznyy,27.56,100.00%,48.00%,4.03,50.68,156.12
587,Punta Arenas,69.50,93.00%,88.00%,5.37,-33.59,26.89
588,Klaksvik,64.46,27.00%,8.00%,12.19,-30.97,22.13
589,Antonio Escobedo,75.35,28.00%,0.00%,11.63,-46.43,-67.52
590,Bredasdorp,35.87,59.00%,90.00%,19.46,62.45,-114.38
591,Berbera,83.63,26.00%,0.00%,8.50,27.97,-114.04
592,Bambous Virieux,53.75,62.00%,0.00%,8.50,-23.58,149.07
593,Mar Del Plata,51.03,81.00%,75.00%,17.22,-54.81,-68.31
594,Merauke,55.15,100.00%,75.00%,1.23,36.95,36.2
595,Kununurra,38.36,82.00%,8.00%,2.68,-33.21,138.6
596,Carnarvon,34.92,69.00%,90.00%,9.17,45.36,-73.48
597,Petropavlovsk-Kamchatskiy,51.03,81.00%,75.00%,17.22,-54.81,-68.31
598,Cherskiy,82.55,99.00%,92.00%,10.40,-2.02,147.27
599,Victoria,37.40,59.00%,75.00%,4.70,50.23,-99.46
600,Souillac,55.22,62.00%,75.00%,18.34,-53.16,-70.91
601,Cabo San Lucas,38.88,56.00%,75.00%,26.40,42.65,-73.75
602,Ushuaia,55.22,62.00%,75.00%,18.34,-53.16,-70.91
603,Sigli,69.80,52.00%,0.00%,3.36,-15.77,128.74
604,Busselton,83.84,66.00%,20.00%,13.87,-0.74,-90.35
605,Cape Town,37.38,60.00%,40.00%,14.99,45.12,-95.04
606,Kaitangata,80.60,88.00%,75.00%,6.93,-8.83,13.24
607,Castro,83.63,26.00%,0.00%,8.50,27.97,-114.04
608,Mandurah,73.19,74.00%,0.00%,12.53,11,122.67
609,Sentyabrskiy,79.49,99.00%,76.00%,3.91,-5.2,-35.46
610,Camacha,82.28,34.00%,48.00%,7.16,-38.31,-60.23
611,Pevek,69.50,93.00%,88.00%,5.37,-33.59,26.89
612,Sentyabrskiy,33.37,85.00%,90.00%,11.18,59.7,30.79
613,Kodiak,75.98,100.00%,88.00%,4.70,2.77,-77.67
614,Rikitea,33.37,85.00%,90.00%,11.18,59.7,30.79
615,Punta Arenas,92.27,51.00%,8.00%,3.91,-3.74,-61.66
616,Aden,58.50,87.00%,0.00%,5.82,37.14,-8.45
617,Sambava,78.89,61.00%,40.00%,13.87,22.08,-159.32
618,Punta Arenas,84.20,70.00%,20.00%,23.04,12.52,-70.03
619,Ushuaia,81.38,100.00%,92.00%,10.96,-9.8,-139.03
620,Rikitea,71.66,96.00%,76.00%,3.91,2.79,24.73
621,Punta Arenas,78.80,74.00%,75.00%,5.82,17.01,54.1
622,Atuona,28.28,93.00%,88.00%,24.83,73.51,80.55
623,Ushuaia,76.88,100.00%,68.00%,18.57,-23.12,-134.97
624,Abu Dhabi,63.20,85.00%,0.00%,0.56,-8.93,125.41
625,Tiksi,36.18,80.00%,20.00%,1.12,35.73,140.83
626,Port Hawkesbury,44.57,57.00%,0.00%,2.57,32.54,75.98
627,Nikolskoye,81.38,100.00%,92.00%,10.96,-9.8,-139.03
628,Vaini,60.67,82.00%,75.00%,4.70,-33.93,18.42
629,Saleaula,76.88,100.00%,68.00%,18.57,-23.12,-134.97
630,Jamestown,76.88,100.00%,68.00%,18.57,-23.12,-134.97
631,Dwarka,76.19,69.00%,90.00%,8.05,19.71,-155.08
632,Samusu,45.90,70.00%,0.00%,11.41,51.04,-4.21
633,Dingle,51.03,81.00%,75.00%,17.22,-54.81,-68.31
634,Tiksi,78.89,61.00%,40.00%,13.87,22.08,-159.32
635,Hobart,79.32,61.00%,0.00%,7.38,17.31,99.83
636,Busselton,64.46,27.00%,8.00%,12.19,-30.97,22.13
637,Cape Town,78.23,26.00%,8.00%,2.91,18.74,7.39
638,Batman,82.55,99.00%,92.00%,10.40,-2.02,147.27
639,Novovarshavka,54.00,71.00%,20.00%,8.01,-46.19,168.86
640,Espanola,50.50,61.00%,75.00%,9.17,-42.88,147.33
641,Sabha,82.55,100.00%,68.00%,15.43,3.07,172.79
642,Rikitea,58.97,100.00%,64.00%,24.94,38.52,-28.7
643,Havre-Saint-Pierre,50.52,61.00%,75.00%,9.17,-43.03,147.26
644,Avarua,86.00,66.00%,0.00%,5.82,16.89,42.56
645,Torbay,80.93,79.00%,100.00%,10.40,5.35,48.53
646,Mataura,74.81,93.00%,48.00%,1.34,-2.42,115.25
647,Jamestown,57.65,99.00%,100.00%,1.99,-34.42,19.24
648,Codrington,55.22,62.00%,75.00%,18.34,-53.16,-70.91
649,Albany,53.75,62.00%,0.00%,8.50,-23.58,149.07
650,Upernavik,84.20,70.00%,20.00%,23.04,12.52,-70.03
651,Bengkulu,58.26,87.00%,76.00%,11.41,-34.53,20.04
652,Cidreira,57.65,99.00%,100.00%,1.99,-34.42,19.24
653,Atambua,77.33,53.00%,0.00%,2.91,-20.63,-46
654,College,89.03,18.00%,0.00%,3.02,18.62,-100.35
655,Andros Town,35.87,59.00%,90.00%,19.46,62.45,-114.38
656,Severo-Kurilsk,38.36,82.00%,8.00%,2.68,-33.21,138.6
657,Port Alfred,38.36,82.00%,8.00%,2.68,-33.21,138.6
658,Carnarvon,64.40,68.00%,20.00%,13.87,-29.95,-71.34
659,Mar Del Plata,64.46,27.00%,8.00%,12.19,-30.97,22.13
660,Yellowknife,73.31,49.00%,1.00%,11.41,36.97,-122.03
661,Guerrero Negro,55.22,62.00%,75.00%,18.34,-53.16,-70.91
662,Bluff,31.25,97.00%,92.00%,5.14,60.35,102.28
663,Ushuaia,70.39,44.00%,44.00%,15.21,-33.64,115.35
664,Erzin,48.99,30.00%,8.00%,3.00,37.17,-99.65
665,Jamestown,83.63,26.00%,0.00%,8.50,27.97,-114.04
666,Saint-Philippe,28.28,93.00%,88.00%,24.83,73.51,80.55
667,Ushuaia,76.88,100.00%,68.00%,18.57,-23.12,-134.97
668,Lorengau,46.40,81.00%,0.00%,3.36,41.34,19.57
669,Neepawa,71.60,30.00%,40.00%,27.51,-13.71,-76.2
670,Punta Arenas,54.00,71.00%,20.00%,8.01,-46.19,168.86
671,Albany,57.22,82.00%,0.00%,5.82,39.36,-9.38
672,Punta Arenas,20.36,71.00%,24.00%,12.19,65.4,64.7
673,Kununurra,58.97,100.00%,64.00%,24.94,38.52,-28.7
674,Puerto Ayora,37.08,34.00%,75.00%,8.95,46.77,-92.13
675,Willmar,51.03,81.00%,75.00%,17.22,-54.81,-68.31
676,Luanda,77.96,100.00%,64.00%,4.36,-21.35,165.16
677,Guerrero Negro,77.87,100.00%,0.00%,10.18,6.37,126.17
678,Dingle,83.18,100.00%,0.00%,4.92,-0.6,73.08
679,Touros,51.03,81.00%,75.00%,17.22,-54.81,-68.31
680,Sentyabrskiy,83.18,100.00%,0.00%,4.92,-0.6,73.08
681,Barrow,59.04,76.00%,0.00%,3.36,41.72,-8.86
682,Port Alfred,35.87,59.00%,90.00%,19.46,62.45,-114.38
683,Nikolskoye,83.34,62.00%,20.00%,14.99,10.24,-61.45
684,Timbiqui,62.66,78.00%,0.00%,17.78,-26.65,15.16
685,Nikolskoye,78.59,99.00%,0.00%,6.93,-15.19,12.15
686,Saleaula,68.33,92.00%,0.00%,2.57,15.34,74.49
687,Anori,69.50,93.00%,88.00%,5.37,-33.59,26.89
688,Lagoa,45.25,87.00%,90.00%,11.41,41.38,-71.64
689,Kapaa,78.80,88.00%,90.00%,8.05,7.04,134.26
690,Oranjestad,38.88,56.00%,75.00%,26.40,42.65,-73.75
